Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Jönköping-Axamos Flygplats;74460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-04-01 00:00:00;2024-09-30 23:59:59;226.0;57.7514;14.0733

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1977-05-01 00:00:01;1977-06-01 00:00:00;1977-05;9.6;Y
1977-06-01 00:00:01;1977-07-01 00:00:00;1977-06;14.3;Y
1977-07-01 00:00:01;1977-08-01 00:00:00;1977-07;14.1;Y
1977-08-01 00:00:01;1977-09-01 00:00:00;1977-08;13.7;Y
1977-09-01 00:00:01;1977-10-01 00:00:00;1977-09;8.6;Y
1977-10-01 00:00:01;1977-11-01 00:00:00;1977-10;7.7;Y
1977-11-01 00:00:01;1977-12-01 00:00:00;1977-11;2.2;Y
1977-12-01 00:00:01;1978-01-01 00:00:00;1977-12;-0.4;Y
1978-01-01 00:00:01;1978-02-01 00:00:00;1978-01;-1.8;Y
1978-02-01 00:00:01;1978-03-01 00:00:00;1978-02;-5.7;Y
1978-03-01 00:00:01;1978-04-01 00:00:00;1978-03;-1.1;Y
1978-04-01 00:00:01;1978-05-01 00:00:00;1978-04;2.7;Y
1978-05-01 00:00:01;1978-06-01 00:00:00;1978-05;9.7;Y
1978-06-01 00:00:01;1978-07-01 00:00:00;1978-06;14.1;Y
1978-07-01 00:00:01;1978-08-01 00:00:00;1978-07;14.1;Y
1978-08-01 00:00:01;1978-09-01 00:00:00;1978-08;13.7;Y
1978-09-01 00:00:01;1978-10-01 00:00:00;1978-09;9.0;Y
1978-10-01 00:00:01;1978-11-01 00:00:00;1978-10;7.2;Y
1978-11-01 00:00:01;1978-12-01 00:00:00;1978-11;4.8;Y
1978-12-01 00:00:01;1979-01-01 00:00:00;1978-12;-5.7;Y
1979-01-01 00:00:01;1979-02-01 00:00:00;1979-01;-6.5;Y
1979-02-01 00:00:01;1979-03-01 00:00:00;1979-02;-6.9;Y
1979-03-01 00:00:01;1979-04-01 00:00:00;1979-03;-1.3;Y
1979-04-01 00:00:01;1979-05-01 00:00:00;1979-04;3.1;Y
